Flow rate,Time,Peak
0,5,102.131
0,5,77.17
0,5,72.03
0,5,6.06
0,5,5.94
0,5,5.92
0,5,12.781
0,5,228.959
0,5,8.261
0,10,131.37
0,10,114.62
0,10,105.76
0,10,19.57
0,10,15.98
0,10,14.64
0,10,48.03
0,10,39.845
0,10,36.105
0,15,152.18
0,15,131.05
0,15,120.21
0,15,31.19
0,15,25.97
0,15,23.8
0,15,98.313
0,15,85.659
0,15,78.76
0,30,202.92
0,30,174.96
0,30,160.25
0,30,56.86
0,30,48.14
0,30,43.78
0,30,453
0,30,392.5
0,30,365.9
1,5,16.3
1,5,-3.15
1,5,-2.23
1,5,20.9
1,5,21
1,5,21.1
1,5,7.64
1,5,7.2
1,5,7.04
1,10,17.43
1,10,17.03
1,10,32.4
1,10,30
1,10,30.4
1,10,29.7
1,10,13.45
1,10,11.74
1,10,10.73
1,15,28.34
1,15,23.45
1,15,21.53
1,15,47.1
1,15,46.4
1,15,46.2
1,15,19.72
1,15,16.74
1,15,15.79
1,30,57.07
1,30,50.22
1,30,43.08
1,30,86.45
1,30,81.92
1,30,84.94
1,30,33.41
1,30,29.6
1,30,27.79
2,2.5,0.02
2,2.5,0.03
2,2.5,0.02
2,2.5,0.688
2,2.5,0.478
2,2.5,0.483
2,5,15.537
2,5,14.192
2,5,13.967
2,5,5.961
2,5,5.006
2,5,4.936
2,7.5,7.737
2,7.5,7.323
2,7.5,7.278
2,7.5,11.488
2,7.5,9.932
2,7.5,9.156
2,15,28.654
2,15,25.76
2,15,24.29
2,15,19.322
2,15,16.475
2,15,15.059
5,1,9.27
5,1,8.64
5,1,8.36
5,1,2.9
5,1,1.8
5,1,1.5
5,2,9.74
5,2,9.02
5,2,8.92
5,2,6.4
5,2,4.6
5,2,3.7
5,3,11.06
5,3,10.12
5,3,9.9
5,3,10.3
5,3,7.3
5,3,6.3
5,6,11.87
5,6,10.53
5,6,10.13
5,6,16.6
5,6,12.2
5,6,10.5
10,0.5,4.02
10,0.5,4.03
10,0.5,4
10,0.5,-2.92
10,0.5,-2.09
10,0.5,-0.66
10,1,6.9
10,1,6.55
10,1,6.19
10,1,2.45
10,1,0.83
10,1,0.14
10,1.5,9.57
10,1.5,8.57
10,1.5,8.52
10,1.5,16.51
10,1.5,12.42
10,1.5,10.09
10,3,16.29
10,3,14.34
10,3,13.36
10,3,51.126
10,3,43.051
10,3,37.941
