Flow rate,Time,Peak
0,T1,102.131
0,T1,77.17
0,T1,72.03
0,T1,6.06
0,T1,5.94
0,T1,5.92
0,T1,12.781
0,T1,228.959
0,T1,8.261
0,T2,131.37
0,T2,114.62
0,T2,105.76
0,T2,19.57
0,T2,15.98
0,T2,14.64
0,T2,48.03
0,T2,39.845
0,T2,36.105
0,T3,152.18
0,T3,131.05
0,T3,120.21
0,T3,31.19
0,T3,25.97
0,T3,23.8
0,T3,98.313
0,T3,85.659
0,T3,78.76
0,T4,202.92
0,T4,174.96
0,T4,160.25
0,T4,56.86
0,T4,48.14
0,T4,43.78
0,T4,453
0,T4,392.5
0,T4,365.9
1,T1,16.3
1,T1,-3.15
1,T1,-2.23
1,T1,20.9
1,T1,21
1,T1,21.1
1,T1,7.64
1,T1,7.2
1,T1,7.04
1,T2,17.43
1,T2,17.03
1,T2,32.4
1,T2,30
1,T2,30.4
1,T2,29.7
1,T2,13.45
1,T2,11.74
1,T2,10.73
1,T3,28.34
1,T3,23.45
1,T3,21.53
1,T3,47.1
1,T3,46.4
1,T3,46.2
1,T3,19.72
1,T3,16.74
1,T3,15.79
1,T4,57.07
1,T4,50.22
1,T4,43.08
1,T4,86.45
1,T4,81.92
1,T4,84.94
1,T4,33.41
1,T4,29.6
1,T4,27.79
2,T1,0.02
2,T1,0.03
2,T1,0.02
2,T1,0.688
2,T1,0.478
2,T1,0.483
2,T2,15.537
2,T2,14.192
2,T2,13.967
2,T2,5.961
2,T2,5.006
2,T2,4.936
2,T3,7.737
2,T3,7.323
2,T3,7.278
2,T3,11.488
2,T3,9.932
2,T3,9.156
2,T4,28.654
2,T4,25.76
2,T4,24.29
2,T4,19.322
2,T4,16.475
2,T4,15.059
5,T1,9.27
5,T1,8.64
5,T1,8.36
5,T1,2.9
5,T1,1.8
5,T1,1.5
5,T2,9.74
5,T2,9.02
5,T2,8.92
5,T2,6.4
5,T2,4.6
5,T2,3.7
5,T3,11.06
5,T3,10.12
5,T3,9.9
5,T3,10.3
5,T3,7.3
5,T3,6.3
5,T4,11.87
5,T4,10.53
5,T4,10.13
5,T4,16.6
5,T4,12.2
5,T4,10.5
10,T1,4.02
10,T1,4.03
10,T1,4
10,T1,-2.92
10,T1,-2.09
10,T1,-0.66
10,T2,6.9
10,T2,6.55
10,T2,6.19
10,T2,2.45
10,T2,0.83
10,T2,0.14
10,T3,9.57
10,T3,8.57
10,T3,8.52
10,T3,16.51
10,T3,12.42
10,T3,10.09
10,T4,16.29
10,T4,14.34
10,T4,13.36
10,T4,51.126
10,T4,43.051
10,T4,37.941
